"Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0.12,0
0,0,0,0,0.12,0
0,0,0,0,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.12,0
0,0,0,0,0.12,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0,0.13,0
0,0,0,0.002,0.12,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.002,0.13,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.13,0,0
0,0,0,0.13,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.14,0,0
0,0,0,0.14,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.15,0,0
0,0,0,0.15,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.16,0,0
0,0,0,0.16,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
0,0,0,0.17,0,0
0,0,0,0.17,0.002,0
