Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-2.5842,-1.0135,0,5.5635,4.288,0
-1.7525,0.36817,0,5.4256,4.2953,0
-1.7308,-1.6734,0,5.6052,4.1592,0
-1.5094,-2.157,0,5.8828,4.1928,0
-2.6563,1.1467,0,5.7687,4.231,0
-3.2262,-1.0426,0,5.9581,4.2913,0
-2.5115,-1.4908,0,6.0847,4.1979,0
-2.037,0.62056,0,6.289,4.1843,0
-0.56708,0.091825,0,6.4661,4.1908,0
-1.1471,-0.85029,0,6.1897,4.2739,0
-1.3528,0.16987,0,6.4309,4.291,0
-1.9877,0.39605,0,6.6285,4.1654,0
-0.63164,-0.30797,0,6.7278,4.2648,0
0.094646,-2.2848,0,6.845,4.1835,0
-1.3477,-0.96648,0,7.0185,4.1884,0
-0.27163,-0.84999,0,7.0674,4.2803,0
-0.73037,-0.53026,0,7.3285,4.2795,0
-1.5411,-1.1972,0,7.4183,4.1804,0
0.3984,0.085786,0,7.2143,4.2009,0
0.93014,-0.50933,0,7.8454,4.272,0
-1.3784,0.62009,0,7.5966,4.19,0
-0.010133,-0.39261,0,7.7326,4.1815,0
0.77129,-0.9522,0,8.1075,4.1875,0
0.80565,0.14014,0,8.2553,4.2404,0
0.23573,0.50258,0,7.9712,4.1812,0
0.77156,0.30795,0,8.4071,4.2144,0
-0.091295,-0.73118,0,8.5677,4.1861,0
1.3437,0.40786,0,8.3964,4.3124,0
-0.28699,0.1473,0,8.8303,4.1691,0
0.97021,-0.061804,0,8.9549,4.2751,0
1.2177,-1.1366,0,8.7077,4.2298,0
-0.12194,0.41086,0,9.1924,4.2569,0
2.3529,-0.98971,0,9.2359,4.1855,0
1.4513,-0.65592,0,9.0344,4.214,0
1.0138,0.21705,0,9.4718,4.1507,0
2.1538,0.16995,0,9.6957,4.2727,0
3.4042,-1.0424,0,9.599,4.228,0
1.0382,-0.77775,0,9.4107,4.2876,0
3.2851,-0.84861,0,10.036,4.2412,0
3.6407,0.054947,0,9.8794,4.2033,0
2.6708,-0.31051,0,9.8387,4.2692,0
3.0828,0.40224,0,10.336,4.1834,0
3.6783,-0.28661,0,10.173,4.1991,0
3.7517,-0.090988,0,10.25,4.3111,0
2.5171,-0.33988,0,10.582,4.1656,0
4.0235,0.99536,0,10.762,4.2303,0
3.1899,0.30879,0,10.685,4.3175,0
4.6815,-0.50217,0,10.501,4.2554,0
4.4762,-1.2218,0,11.091,4.2303,0
3.3171,-0.81134,0,10.909,4.3029,0
3.557,1.6105,0,10.894,4.1821,0
4.4806,0.18645,0,11.486,4.2024,0
5.0965,0.39778,0,11.337,4.1716,0
4.9982,0.1811,0,11.178,4.2058,0
4.8318,1.0087,0,11.668,4.1751,0
6.216,-1.3376,0,11.806,4.2302,0
5.1374,0.074596,0,11.563,4.3111,0
6.2378,-1.5129,0,11.948,4.2155,0
6.2021,-0.59298,0,12.205,4.2711,0
6.3668,0.020309,0,12.015,4.2698,0
5.2335,0.89976,0,12.538,4.1528,0
6.9514,-1.1955,0,12.398,4.2354,0
5.458,-0.88008,0,12.247,4.1924,0
7.244,-0.67489,0,12.819,4.2714,0
6.5173,-1.5257,0,12.82,4.2125,0
7.5049,0.018344,0,12.61,4.2594,0
8.2852,-0.95466,0,13.303,4.2039,0
8.5974,-0.7941,0,13.201,4.2773,0
7.636,0.56188,0,13.056,4.1608,0
7.0709,0.041243,0,13.01,4.276,0
10.108,0.41192,0,13.514,4.2803,0
8.6546,0.6165,0,13.496,4.149,0
9.0194,-0.77695,0,13.95,4.2003,0
9.9768,0.62772,0,13.83,4.2487,0
8.0821,-1.377,0,13.699,4.192,0
9.5188,1.7206,0,14.278,4.1824,0
10.941,-1.2302,0,14.365,4.2473,0
9.2356,0.14933,0,14.11,4.2259,0
10.14,0.1137,0,14.093,4.3173,0
9.8944,-0.37951,0,14.602,4.1616,0
10.574,-0.47531,0,14.74,4.1985,0
10.659,0.99761,0,14.946,4.2976,0
9.7491,-0.031391,0,15.054,4.2641,0
10.552,-1.3797,0,14.873,4.17,0
11.417,0.24317,0,15.255,4.2476,0
11.11,0.51109,0,15.307,4.1984,0
-3.3039,-5.0042,0,15.649,3.9505,0
13.922,-0.24208,0,15.768,4.1538,0
15.348,-0.84169,0,15.608,4.2447,0
12.013,-3.9301,0,15.766,4.2272,0
0.65922,-3.298,0,8.0406,7.102,0
1.0563,-5.2055,0,7.9839,6.837,0
3.2417,-3.2228,0,8.2677,6.9054,0
2.4671,-4.9088,0,8.0513,7.0932,0
-0.23343,-1.7087,0,7.6469,6.9137,0
-1.9621,-4.7093,0,7.7591,7.091,0
-1.0916,-3.8982,0,7.6368,7.1056,0
-1.6697,-3.1493,0,7.7693,6.9469,0
-0.89359,-4.481,0,7.4849,7.13,0
-1.6373,-5.1932,0,7.5407,7.1943,0
-1.1215,-1.9864,0,6.9767,6.8632,0
2.4798,-3.9516,0,8.3279,6.8713,0
0.75698,-2.3006,0,8.6612,6.838,0
0.13805,-4.755,0,8.1093,6.5597,0
1.2871,-1.4504,0,7.9591,6.5249,0
