Velocity:x,Velocity:y,Velocity:z,Position:x,Position:y,Position:z
-2.9735,5.4002,1.9291,6.664,12.983,7.3632
2.9735,5.4002,1.9291,11.336,12.983,7.3632
2.9735,-5.4002,1.9291,11.336,5.0175,7.3632
-7.3744,1.1168e-13,-0.50945,3.5482,9,7.3944
7.3744,8.9756e-14,-0.50945,14.452,9,7.3944
-3.8809e-15,11.993,-0.35194,9,16.992,7.2737
2.9516e-14,12.842,-0.59933,9,17.916,7.3557
8.2179e-14,12.029,-0.61243,9,16.545,7.2909
-1.5202e-14,-11.993,-0.35194,9,1.0075,7.2737
-7.1443e-15,-12.842,-0.59933,9,0.083919,7.3557
3.8081e-14,-12.029,-0.61243,9,1.4555,7.2909
-2.0591,-11.718,-1.6019,6.7793,0.38758,7.2191
2.0591,-11.718,-1.6019,11.221,0.38758,7.2191
-2.0591,11.718,-1.6019,6.7793,17.612,7.2191
2.0591,11.718,-1.6019,11.221,17.612,7.2191
-10.298,-7.8102,-0.91265,0.59554,2.6249,7.3316
-10.298,7.8102,-0.91265,0.59554,15.375,7.3316
10.298,7.8102,-0.91265,17.404,15.375,7.3316
10.298,-7.8102,-0.91265,17.404,2.6249,7.3316
-14.623,8.0134e-14,-7.0769,-1.7011,9,6.5072
-12.887,-2.926e-14,-9.5188,-0.8734,9,6.6264
-16.716,1.0355e-13,-5.4375,-0.077931,9,6.9612
14.623,4.9453e-14,-7.0769,19.701,9,6.5072
12.887,-3.2148e-14,-9.5188,18.873,9,6.6264
16.716,6.5617e-14,-5.4375,18.078,9,6.9612
1.1348,-5.2318,-8.9789,7.2306,-1.3642,6.0487
5.6189e-14,3.1685,-2.43,9,-0.55547,5.9641
9.2179e-14,-4.9815,-9.078,9,-1.3648,5.9448
1.2634e-14,-13.057,-17.117,9,-1.6603,5.9574
1.1348,5.2318,-8.9789,7.2306,19.364,6.0487
-5.3725e-14,-3.1685,-2.43,9,18.555,5.9641
-1.2466e-14,4.9815,-9.078,9,19.365,5.9448
1.6744e-14,13.057,-17.117,9,19.66,5.9574
-1.1348,-5.2318,-8.9789,10.769,-1.3642,6.0487
-1.1348,5.2318,-8.9789,10.769,19.364,6.0487
-3.881,-2.6857,-12.54,-1.6204,6.0986,5.645
-1.6324,-5.0146,-3.2071,-1.0997,5.885,6.0184
-9.5687,-5.235,-10.657,-0.82625,6.1406,6.7027
-16.654,-5.0519,-5.3474,-0.16981,6.3502,6.9545
-3.881,2.6857,-12.54,-1.6204,11.901,5.645
-1.6324,5.0146,-3.2071,-1.0997,12.115,6.0184
-9.5687,5.235,-10.657,-0.82625,11.859,6.7027
-16.654,5.0519,-5.3474,-0.16981,11.65,6.9545
3.881,-2.6857,-12.54,19.62,6.0986,5.645
1.6324,-5.0146,-3.2071,19.1,5.885,6.0184
9.5687,-5.235,-10.657,18.826,6.1406,6.7027
16.654,-5.0519,-5.3474,18.17,6.3502,6.9545
3.881,2.6857,-12.54,19.62,11.901,5.645
1.6324,5.0146,-3.2071,19.1,12.115,6.0184
